origin,destination,weight
gci12_Rspam,gci21_Nfirst,0.9894522064214659
gci12_Rspam,gci21_NregCisrt,0.9828623119933322
gci12_Rspam,gci22_Scsirt,-0.9924095762930647
gci12_Rspam,gci23_FStandard,-0.9998867384609336
gci12_Rspam,gci23_Fciip,-0.9988411522470036
gci12_Rspam,gci31_Nstrategy,0.9888861367900402
gci12_Rspam,gci31_Npriority,-0.9935520469631807
gci12_Rspam,gci32_Acyber,-0.9971638826327573
gci12_Rspam,gci32_Aciip,-0.9981286408059062
gci12_Rspam,gci41_AWmsme,0.9993592993119019
gci12_Rspam,gci41_AWprivate,0.9996591787893024
gci12_Rspam,gci41_AWpublic,0.9961152892228486
gci12_Rspam,gci41_AWgeneral,-0.9887080830386175
gci12_Rspam,gci41_AWcop,0.9989780674534273
gci12_Rspam,gci41_AWchildren,0.9959010531654243
gci12_Rspam,gci42_Tprofessional,0.9971764639233277
gci12_Rspam,gci42_Tacreditation,0.9971764639233279
gci12_Rspam,gci42_Tsector,0.9971764626205649
gci12_Rspam,gci43_Cprimary,0.9971764642528604
gci12_Rspam,gci43_Csecondary,0.9971764642683552
gci12_Rspam,gci43_Chigher,0.9913790916692499
gci12_Rspam,gci44_Evalscheme,0.9819805086525908
gci12_Rspam,gci52_Mcapacitydev,-0.9978123578671181
gci12_Rspam,gci53_Mlat,-0.9991293296472621
gci12_Rspam,gci54_PPPdomestic,-0.999831185175027
gci12_Rspam,gci54_PPPforeign,-0.9970207552361037
gci12_Rcop,gci11_Lonline,-0.9997584825290103
gci12_Rcop,gci11_Lforgery,0.9996967837940923
gci12_Rcop,gci11_Lolsafety,0.9990231078452172
gci12_Rcop,gci12_Rpdp,-0.9980224341288062
gci12_Rcop,gci12_Rstandard,0.9962294532203302
gci12_Rcop,gci12_Rsign,0.9999404201732102
gci12_Rcop,gci12_Rspam,0.9962294589758531
gci12_Rcop,gci21_NatCsirt,0.9940464674143222
gci12_Rcop,gci21_Nactivity,0.9937335910593185
gci12_Rcop,gci21_Nfirst,0.9910795719168377
gci12_Rcop,gci21_NregCisrt,0.9849521310734729
gci12_Rcop,gci22_Scsirt,-0.9937806683941086
gci12_Rcop,gci23_FStandard,-0.999994392725429
gci12_Rcop,gci23_Fciip,-0.9982095764480761
gci12_Rcop,gci31_Nstrategy,0.9905581849104026
gci12_Rcop,gci31_Npriority,-0.9948107285859797
gci12_Rcop,gci32_Acyber,-0.997976291923492
gci12_Rcop,gci32_Aciip,-0.9973447496913913
gci12_Rcop,gci41_AWmsme,0.9997096917627933
gci12_Rcop,gci41_AWprivate,0.9992852479682803
gci12_Rcop,gci41_AWpublic,0.997077527541859
gci12_Rcop,gci41_AWgeneral,-0.9903939456701039
gci12_Rcop,gci41_AWcop,0.9983807792271833
gci12_Rcop,gci41_AWchildren,0.9968912816752341
gci12_Rcop,gci42_Tprofessional,0.9962294594370094
gci12_Rcop,gci42_Tacreditation,0.9962294594370095
gci12_Rcop,gci42_Tsector,0.996229457931902
gci12_Rcop,gci43_Cprimary,0.996229459817725
gci12_Rcop,gci43_Csecondary,0.9962294598356264
gci12_Rcop,gci43_Chigher,0.9928444327650098
gci12_Rcop,gci44_Evalscheme,0.9841246962459665
gci12_Rcop,gci52_Mcapacitydev,-0.9985176392193482
gci12_Rcop,gci53_Mlat,-0.9995491216679407
gci12_Rcop,gci54_PPPdomestic,-0.9995477220073262
gci12_Rcop,gci54_PPPforeign,-0.9978550907289093
gci21_NatCsirt,gci11_Lonline,-0.9913956821581928
gci21_NatCsirt,gci11_Lforgery,0.9910455893676042
gci21_NatCsirt,gci11_Lolsafety,0.9978822504510152
gci21_NatCsirt,gci12_Rpdp,-0.9989238417015877
gci21_NatCsirt,gci12_Rstandard,0.9808214190596838
gci21_NatCsirt,gci12_Rsign,0.995164456798863
gci21_NatCsirt,gci12_Rspam,0.9808214319899774
gci21_NatCsirt,gci12_Rcop,0.9862021339451347
gci21_NatCsirt,gci21_Nactivity,0.9999963247617051
gci21_NatCsirt,gci21_Nfirst,0.9997030242205528
